cilindro,medidacorte,cortepassanteace,cortepassante,medidardacedb,medidaCRDacedb,infoRebaixoComp,infoRebaixoDiam,medidaRD,medidaCRD,medidaRT,medidartaced,medidaRTpassante,medidaRD_MI,medidaCRDMI,medidaRT_MI,imghasteaced,imagemdahaste,medidarebaixo,medidacomprimento,rebaixobocadechave,diamrebbocadechave,rebaixotraseira,rebaixooring,distanciaoring,diametrohaste,imgpassante,materiaprima,embolo,medidaRD_CCB,medidaRT_CCB,medidacortetubo,cortetuboccmbpassante,rosca,imagemdotubo,materiaprimatubo,diametroguia,materiaprimaguia,medidaguia,roscaguia,imagemguia,diametrotirante,materiaprimatirante,medidatirante,roscatirante,roscatiranteb,imagemtirante,rebaixoDianteiraCCMB,rebaixoTraseiraCCMB,furacao,imgAlimentacao,c,diametroc,a,diametroae,b,ctraseira,diametroctraseira,atraseira,diametroaetraseira,btraseira,roscaalimentacao,comprimentoalimentacao,diametrorebaixo,comprimentorebaixo,diamx,compx,diamz,distz,compz
CPB50,91mm,,136mm,,,8mm,19mm,"M16x1,5 X ",32mm,"M10x1,5 X 25mm",,"M10x1,5 X 45mm",,,,,img/haste-cpctsai1.png,"1,5mm",7mm,8mm,19mm,,,,Ø20,imgHastePassante/cpmeMachoMacho.png,HASTE-20,,,,"38,5mm",,M6x1 X 22mm,imgTubo/cpb.png,CPBTUBO-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPB63,91mm,,139mm,,,8mm,19mm,"M16x1,5 X ",32mm,"M10x1,5 X 25mm",,"M10x1,5 X 48mm",,,,,img/haste-cpctsai1.png,"1,5mm",7mm,8mm,19mm,,,,Ø20,imgHastePassante/cpmeMachoMacho.png,HASTE-20,,,,40mm,,"M8x1,25 X 24mm",imgTubo/cpb.png,CPBTUBO-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPB80,"114,5mm",,168mm,,,8mm,24mm,"M20x1,5 X ",40mm,"M12x1,75 X 30mm",,"M12x1,75 X 55mm",,,,,img/haste-cpctsai1.png,"1,5mm",7mm,8mm,24mm,,,,Ø25,imgHastePassante/cpmeMachoMacho.png,HASTE-25,,,,42mm,,"M10x1,5 X 26mm",imgTubo/cpb.png,CPBTUBO-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPB100,"114,5mm",,"169,5mm",,,8mm,24mm,"M20x1,5 X ",40mm,"M12x1,75 X 30mm",,"M12x1,75 X 55mm",,,,,img/haste-cpctsai1.png,"1,5mm",7mm,8mm,24mm,,,,Ø25,imgHastePassante/cpmeMachoMacho.png,HASTE-25,,,,48mm,,"M10x1,5 X 26mm",imgTubo/cpb.png,CPBTUBO-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPB125,152mm,,217mm,,,13mm,31mm,M27x2 X ,54mm,M14x2 X 45mm,,M14x2 X 65mm,,,,,img/haste-cpctsai1.png,2mm,12mm,13mm,31mm,,,,Ø32,imgHastePassante/cpmeMachoMacho.png,HASTE-32,,,,65mm,,NÃO FAZER,imgTubo/cpb.png,CPBTUBO-125,,,,,,Ø12,HASTE-12,111mm,"M12x1,75 X 12mm","M12x1,75 X 12mm",imgTirante/tirante-ctb.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPME32,83mm,,122mm,,,8mm,"11,5mm","M10x1,25 X ",22mm,M6x1 X 15mm,,M6x1 X 30mm,,,,,img/haste-cpctsai1.png,1mm,7mm,8mm,"11,5mm",,,,Ø12,imgHastePassante/cpmeMachoMacho.png,HASTE-12,,,,"43,5mm",,M6x1 X 22mm,imgTubo/cpn-cpme.png,CPTUBO-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPME40,93mm,,133mm,,,8mm,15mm,"M12x1,25 X ",24mm,"M8x1,25 X 24mm",,"M8x1,25 X 40mm",,,,,img/haste-cpctsai1.png,"1,5mm",7mm,8mm,15mm,,,,Ø16,imgHastePassante/cpmeMachoMacho.png,HASTE-16,,,,"45,5mm",,M6x1 X 22mm,imgTubo/cpn-cpme.png,CPTUBO-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPME50,110mm,,155mm,,,8mm,19mm,"M16x1,5 X ",32mm,"M10x1,5 X 25mm",,"M10x1,5 X 45mm",,,,,img/haste-cpctsai1.png,"1,5mm",7mm,8mm,19mm,,,,Ø20,imgHastePassante/cpmeMachoMacho.png,HASTE-20,,,,"45,5mm",,"M8x1,25 X 24mm",imgTubo/cpn-cpme.png,CPTUBO-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPME63,113mm,,163mm,,,8mm,19mm,"M16x1,5 X ",32mm,"M10x1,5 X25mm",,"M10x1,5 X 50mm",,,,,img/haste-cpctsai1.png,"1,5mm",7mm,8mm,19mm,,,,Ø20,imgHastePassante/cpmeMachoMacho.png,HASTE-20,,,,"48,5mm",,"M8x1,25 X 24mm",imgTubo/cpn-cpme.png,CPTUBO-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPME80,135mm,,187mm,,,8mm,24mm,"M20x1,5 X ",40mm,"M12x1,75 X 30mm",,"M12x1,75 X 52mm",,,,,img/haste-cpctsai1.png,"1,5mm",7mm,8mm,24mm,,,,Ø25,imgHastePassante/cpmeMachoMacho.png,HASTE-25,,,,54mm,,"M10x1,5 X 26mm",imgTubo/cpn-cpme.png,CPTUBO-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPME100,139mm,,199mm,,,8mm,24mm,"M20x1,5 X ",40mm,"M12x1,75 X 30mm",,"M12x1,75 X 60mm",,,,,img/haste-cpctsai1.png,"1,5mm",7mm,8mm,24mm,,,,Ø25,imgHastePassante/cpmeMachoMacho.png,HASTE-25,,,,59mm,,"M10x1,5 X 26mm",imgTubo/cpn-cpme.png,CPTUBO-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPME125,186mm,, 251mm,,,13mm,31mm,M27x2 X ,54mm,"M12x1,75 X 30mm",,M14x2 X 65mm,,,,,img/haste-cpctsai1.png,2mm,12mm,13mm,31mm,,,,Ø32,imgHastePassante/cpmeMachoMacho.png,HASTE-32,,,,68mm,,"M12x1,75 X 30mm",imgTubo/cpn-cpme.png,CPTUBO-125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPN32,81mm,,119mm,,,8mm,"11,5mm","M10x1,25 X ",22mm,M6x1 X 15mm,,M6x1 X 38mm,,,,,img/haste-cpctsai1.png,1mm,7mm,8mm,"11,5mm",,,,Ø12,imgHastePassante/cpmeMachoMacho.png,HASTE-12,,,,42mm,,M6x1 X 22mm,imgTubo/cpn-cpme.png,CPTUBO-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPN40,91mm,,"131,5mm",,,8mm,15mm,"M12x1,25 X ",24mm,"M8x1,25 X 22mm",,"M8x1,25 X 40mm",,,,,img/haste-cpctsai1.png,"1,5mm",7mm,8mm,15mm,,,,Ø16,imgHastePassante/cpmeMachoMacho.png,HASTE-16,,,,47mm,,M6x1 X 22mm,imgTubo/cpn-cpme.png,CPTUBO-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPN50,106mm,,154mm,,,8mm,19mm,"M16x1,5 X ",32mm,"M10x1,5 X 25mm",,"M10x1,5 X 45mm",,,,,img/haste-cpctsai1.png,"1,5mm",7mm,8mm,19mm,,,,Ø20,imgHastePassante/cpmeMachoMacho.png,HASTE-20,,,,47mm,,"M8x1,25 X 24mm",imgTubo/cpn-cpme.png,CPTUBO-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPN63,"111,5mm",,159mm,,,8mm,19mm,"M16x1,5 X ",32mm,"M10x1,5 X 25mm",,"M10x1,5 X 50mm",,,,,img/haste-cpctsai1.png,"1,5mm",7mm,8mm,19mm,,,,Ø20,imgHastePassante/cpmeMachoMacho.png,HASTE-20,,,,55mm,,"M8x1,25 X 24mm",imgTubo/cpn-cpme.png,CPTUBO-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPN80,"134,5mm",,"196,5mm",,,8mm,24mm,"M20x1,5 X ",40mm,"M12x1,75 X 30mm",,"M12x1,75 X 52mm",,,,,img/haste-cpctsai1.png,"1,5mm",7mm,8mm,24mm,,,,Ø25,imgHastePassante/cpmeMachoMacho.png,HASTE-25,,,,"59,5mm",,"M10x1,5 X 26mm",imgTubo/cpn-cpme.png,CPTUBO-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPN100,142mm,,206mm,,,8mm,24mm,"M20x1,5 X ",40mm,"M12x1,75 X 30mm",,"M12x1,75 X 60mm",,,,,img/haste-cpctsai1.png,"1,5mm",7mm,8mm,24mm,,,,Ø25,imgHastePassante/cpmeMachoMacho.png,HASTE-25,,,,62mm,,"M10x1,5 X 26mm",imgTubo/cpn-cpme.png,CPTUBO-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPN125,193mm,,,,,13mm,31mm,M27x2 X ,54mm,M14x2 X 45mm,,M14x2 X 65mm,,,,,img/haste-cpctsai1.png,2mm,12mm,13mm,31mm,,,,Ø32,imgHastePassante/cpmeMachoMacho.png,HASTE-32,,,,65mm,,"M12x1,75 X 30mm",imgTubo/cpn-cpme.png,CPTUBO-125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM10,57mm,50mm,"59,5mm","M4x0,7 x ",12mm,,,"M4x0,7 X ",12mm,"M3x0,5 X 10mm","M3x0,5 X 6,50mm","M3x0,5 X 12mm",,,,img/csm3.png,img/csm10-16.png,,,,,,,,Ø4,imgHastePassante/cpmeMachoMacho.png,HASTE-04,,,,26mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM12,72mm,,,M6x1 X ,16mm,,,M6x1 X ,16mm,"M4x0,7 X 10mm","M4x0,7 X 12mm","M4x0,7 X 15mm",,,,img/csm3.png,img/csm10-16.png,"0,5mm",4mm,,,,,,Ø6,imgHastePassante/cpmeMachoMacho.png,HASTE-06,,,,30mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM16,"82,5mm","56,5mm","84,5mm",M6x1 X ,16mm,,,M6x1 X ,16mm,"M5x0,8 X 15,5mm","M4x0,7 X 12mm","M4x0,7 X 21mm",,,,img/csm3.png,img/csm10-16.png,"0,5mm",4mm,,,,,,Ø6,imgHastePassante/cpmeMachoMacho.png,HASTE-06,,,,34mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM20,75mm,"75,5mm","86,5mm","M8x1,25 X ",20mm,,,"M8x1,25 X ",20mm,"M5x0,8 X 15mm",M6x1 X 12mm,M6x1 X 18mm,,,,img/csm3.png,img/csm20-25.png,1mm,4mm,,,,,,Ø8,imgHastePassante/cpmeMachoMacho.png,HASTE-08,,,,36mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM25,79mm,80mm,107mm,"M10x1,25 X ",22mm,,,"M10x1,25 X ",22mm,M6x1 X 25mm,M6x1 X 12mm,M6x1 X 27mm,,,,img/csm3.png,img/csm20-25.png,1mm,5mm,,,,,,Ø10,imgHastePassante/cpmeMachoMacho.png,HASTE-10,,,,"37,5mm",,,imgTubo/mi-csm-ct.png,CSMTUBO-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM16-C,"76,5mm",,"84,5mm",,,,,M6x1 X ,16mm,"M4x0,7 X 10mm",,"M4x0,7 X 21mm",,,,,img/csm10-16.png,"0,5mm",4mm,,,,,,Ø6,imgHastePassante/cpmeMachoMacho.png,HASTE-06,,,,,,,imgTubo/mi-csm-ct.png,CSMTUBO-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM20-C,75mm,,"87,5mm",,,,,"M8x1,25 X ",20mm,"M5x0,8 X 15mm",,M6x1 X 18mm,,,,,img/csm20-25.png,1mm,4mm,,,,,,Ø8,imgHastePassante/cpmeMachoMacho.png,HASTE-08,,,,35mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM25-C,79mm,,107mm,,,,,"M10x1,25 X ",22mm,M6x1 X 25mm,,M6x1 X 27mm,,,,,img/csm20-25.png,1mm,5mm,,,,,,Ø10,imgHastePassante/cpmeMachoMacho.png,HASTE-10,,,,"37,5mm",,,imgTubo/mi-csm-ct.png,CSMTUBO-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM10A,57mm,,,,,,,"M4x0,7 X ",12mm,"M3x0,5 X 10mm",,,,,,,img/csm10-16.png,,,,,,,,Ø4,,HASTE-04,,,,26mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM12A,72mm,,,,,,,M6x1 X ,16mm,"M4x0,7 X 10mm",,,,,,,img/csm10-16.png,"0,5mm",4mm,,,,,,Ø6,,HASTE-06,,,,30mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM16A,"82,5mm",,,,,,,M6x1 X ,16mm,"M5x0,8 X 15,5mm",,,,,,,img/csm10-16.png,"0,5mm",4mm,,,,,,Ø6,,HASTE-06,,,,34mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM20A,75mm,,,,,,,"M8x1,25 X ",20mm,"M5x0,8 X 15mm",,,,,,,img/csm20-25.png,1mm,4mm,,,,,,Ø8,,HASTE-08,,,,35mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM25A,79mm,,,,,,,"M10x1,25 X ",22mm,M6x1 X 25mm,,,,,,,img/csm20-25.png,1mm,5mm,,,,,,Ø10,,HASTE-10,,,,"37,5mm",,,imgTubo/mi-csm-ct.png,CSMTUBO-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM10F,57mm,,,,,,,"M4x0,7 X ",12mm,"M3x0,5 X 10mm",,,,,,,img/csm10-16.png,,,,,,,,Ø4,,HASTE-04,,,,26mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM12F,72mm,,,,,,,M6x1 X ,16mm,"M4x0,7 X 10mm",,,,,,,img/csm10-16.png,"0,5mm",4mm,,,,,,Ø6,,HASTE-06,,,,30mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM16F,"82,5mm",,,,,,,M6x1 X ,16mm,"M5x0,8 X 15,5mm",,,,,,,img/csm10-16.png,"0,5mm",4mm,,,,,,Ø6,,HASTE-06,,,,34mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM20F,75mm,,,,,,,"M8x1,25 X ",20mm,"M5x0,8 X 15mm",,,,,,,img/csm20-25.png,1mm,4mm,,,,,,Ø8,,HASTE-08,,,,35mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM25F,79mm,,,,,,,"M10x1,25 X ",22mm,M6x1 X 25mm,,,,,,,img/csm20-25.png,1mm,5mm,,,,,,Ø10,,HASTE-10,,,,"37,5mm",,,imgTubo/mi-csm-ct.png,CSMTUBO-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM10R,57mm,,,,,,,"M4x0,7 X ",12mm,"M3x0,5 X 10mm",,,,,,,img/csm10-16.png,,,,,,,,Ø4,,HASTE-04,,,,26mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM12R,72mm,,,,,,,M6x1 X ,16mm,"M4x0,7 X 10mm",,,,,,,img/csm10-16.png,"0,5mm",4mm,,,,,,Ø6,,HASTE-06,,,,30mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM16R,"82,5mm",,,,,,,M6x1 X ,16mm,"M5x0,8 X 15,5mm",,,,,,,img/csm10-16.png,"0,5mm",4mm,,,,,,Ø6,,HASTE-06,,,,34mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM20R,75mm,,,,,,,"M8x1,25 X ",20mm,"M5x0,8 X 15mm",,,,,,,img/csm20-25.png,1mm,4mm,,,,,,Ø8,,HASTE-08,,,,35mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM25R,79mm,,,,,,,"M10x1,25 X ",22mm,M6x1 X 25mm,,,,,,,img/csm20-25.png,1mm,5mm,,,,,,Ø10,,HASTE-10,,,,"37,5mm",,,imgTubo/mi-csm-ct.png,CSMTUBO-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM16F-C,"82,5mm",,,,,,,M6x1 X ,16mm,"M5x0,8 X 15,5mm",,,,,,,img/csm10-16.png,"0,5mm",4mm,,,,,,Ø6,,HASTE-06,,,,34mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM20F-C,74mm,,,,,,,"M8x1,25 X ",20mm,"M5x0,8 X 15mm",,,,,,,img/csm20-25.png,1mm,4mm,,,,,,Ø8,,HASTE-08,,,,35mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM25F-C,79mm,,,,,,,"M10x1,25 X ",22mm,M6x1 X 25mm,,,,,,,img/csm20-25.png,1mm,5mm,,,,,,Ø10,,HASTE-10,,,,"37,5mm",,,imgTubo/mi-csm-ct.png,CSMTUBO-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM2B20,82mm,,,,,,,"M8x1,25 X ",18mm,M6x1 X 12mm,,,,,,,img/csm2.png,1mm,4mm,,,,,,Ø8,,HASTE-08,,,,28mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM2B25,90mm,,86mm,,,,,"M10x1,25 X ",22mm,M8 X 13mm,,M6x1 X 22mm,,,,,img/csm2.png,1mm,5mm,,,,,,Ø10,,HASTE-10,,,,33mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM2B32,89mm,,90mm,,,,,"M10x1,25 X ",22mm,"M8x1,25 X 13mm",,"M8x1,25 X 21mm",,,,,img/csm2.png,1mm,6mm,"6,5mm","11,5mm",,,,Ø12,,HASTE-12,,,,30mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM2B40,106mm,,"107,5mm",,,,,"M14x1,5 X ",24mm,"M10x1,25 X 17mm",,"M10x1,25 X 27mm",,,,,img/csm2.png,"1,5mm",6mm,"6,5mm","15,5mm",,,,Ø16,,HASTE-16,,,,41mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM2B20A,82mm,,,,,,,"M8x1,25 X ",18mm,M6x1 X 12mm,,,,,,,img/csm2.png,1mm,4mm,,,,,,Ø8,,HASTE-08,,,,28mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM2B25A,90mm,,,,,,,"M10x1,25 X ",22mm,M8 X 13mm,,M6x1 X 22mm,,,,,img/csm2.png,1mm,5mm,,,,,,Ø10,,HASTE-10,,,,30mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM2B32A,89mm,,,,,,,"M10x1,25 X ",22mm,"M8x1,25 X 13mm",,"M8x1,25 X 21mm",,,,,img/csm2.png,1mm,6mm,"6,5mm","11,5mm",,,,Ø12,,HASTE-12,,,,30mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM2B40A,106mm,,,,,,,"M14x1,5 X ",24mm,"M10x1,25 X 17mm",,"M10x1,25 X 27mm",,,,,img/csm2.png,"1,5mm",6mm,"6,5mm","15,5mm",,,,Ø16,,HASTE-16,,,,41mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM2B20F,82mm,,,,,,,"M8x1,25 X ",18mm,M6x1 X 12mm,,,,,,,img/csm2.png,1mm,4mm,"4,5mm","7,7mm",,,,Ø8,,HASTE-08,,,,28mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM2B25F,90mm,,86mm,,,,,"M10x1,25 X ",22mm,M8 X 13mm,,M6x1 X 22mm,,,,,img/csm2.png,1mm,5mm,"5,5mm","9,7mm",,,,Ø10,,HASTE-10,,,,30mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM2B32F,89mm,,90mm,,,,,"M10x1,25 X ",22mm,"M8x1,25 X 13mm",,"M8x1,25 X 21mm",,,,,img/csm2.png,1mm,6mm,"6,5mm","11,5mm",,,,Ø12,,HASTE-12,,,,30mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM2B40F,106mm,,"107,5mm",,,,,"M14x1,5 X ",24mm,"M10x1,25 X 17mm",,"M10x1,25 X 27mm",,,,,img/csm2.png,"1,5mm",6mm,"6,5mm","15,5mm",,,,Ø16,,HASTE-16,,,,41mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM2B20R,82mm,,,,,,,"M8x1,25 X ",18mm,M6x1 X 12mm,,,,,,,img/csm2.png,1mm,4mm,"4,5mm","7,7mm",,,,Ø8,,HASTE-08,,,,28mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM2B25R,90mm,,,,,,,"M10x1,25 X ",22mm,M8 X 13mm,,M6x1 X 22mm,,,,,img/csm2.png,1mm,5mm,"5,5mm","9,7mm",,,,Ø10,,HASTE-10,,,,30mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM2B32R,89mm,,,,,,,"M10x1,25 X ",22mm,"M8x1,25 X 13mm",,"M8x1,25 X 21mm",,,,,img/csm2.png,1mm,6mm,"6,5mm","11,5mm",,,,Ø12,,HASTE-12,,,,30mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM2B40R,106mm,,,,,,,"M14x1,5 X ",24mm,"M10x1,25 X 17mm",,"M10x1,25 X 27mm",,,,,img/csm2.png,"1,5mm",6mm,"6,5mm","15,5mm",,,,Ø16,,HASTE-16,,,,41mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM3B32-C,87mm,87mm,"104,5mm","M10x1,25 X ",22mm,,,"M10x1,25 X ",22mm,"M6x1,00 X 15mm",M6x1 X 12mm,"M6x1 X 17,5mm",,,,img/csm3.png,img/csm3.png,1mm,6mm,"6,5mm","11,5mm",,,,Ø12,img/csm2.png,HASTE-12,,,,"31,5mm",,,imgTubo/mi-csm-ct.png,CSMTUBO-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM3B40-C,"96,5mm",,,,,,,"M12x1,25 X ",24mm,"M8x1,25 X 15mm",,,,,,,img/csm3.png,"1,5mm",6mm,"6,5mm","15,5mm",,,,Ø16,,HASTE-16,,,,35mm,,,imgTubo/mi-csm-ct.png,CSMTUBO-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM3B50-C,"115,5mm",,,,,,,"M16x1,5 X ",32mm,"M10x1,5 X 22mm",,,,,,,img/csm3.png,"1,5mm",7mm,"7,5mm",19mm,,,,Ø20,,HASTE-20,,,,"36,5mm",,,imgTubo/mi-csm-ct.png,CSMTUBO-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM3B63-C,"115,5mm",,,,,,,"M16x1,5 X ",32mm,"M10x1,5 X 28mm",,,,,,,img/csm3.png,"1,5mm",7mm,"7,5mm",19mm,,,,Ø20,,HASTE-20,,,,"38,5mm",,,imgTubo/mi-csm-ct.png,CSMTUBO-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSM3F32-C,87mm,,,,,,,"M10x1,25 X ",22mm,"M6x1,00 X 15mm",,,,,,,img/csm3.png,1mm,6mm,"6,5mm","11,5mm",,,,Ø12,,HASTE-12,,,,"31,5mm",,,imgTubo/mi-csm-ct.png,CSMTUBO-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
